"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57"
"1","2","2","1","2","1","2","1","2","1","2","2","2","1","2","2","2","1","1","2","2","1","2","2","1","2","2","1","2","2","2","1","2","1","2","2","2","1","2","4","2","4","2","4","3","4","3","2","4","1","3","2","7","7","7","8","7","1"
"2","1","1","2","1","1","2","2","1","1","1","1","1","2","2","2","2","1","1","2","2","1","2","2","1","1","1","1","1","1","2","1","2","1","1","1","2","1","2","4","2","2","1","2","1","1","2","2","2","2","1","8","5","8","4","2","1","3"
"3","1","2","1","2","2","1","1","1","2","1","2","1","2","2","2","2","1","1","1","1","1","2","2","2","2","1","1","2","2","2","1","2","2","1","2","1","2","2","1","4","1","1","3","4","1","4","4","4","4","6","3","5","3","2","1","7","8"
"4","2","2","2","2","2","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","4","4","4","4","4","4","4","4","1","3","2","8","8","8","8","8","8","8","8"
"5","2","2","1","1","2","2","2","1","1","1","1","2","2","1","1","2","2","2","1","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","2","2","2","1","1","4","1","4","1","3","3","3","3","3","7","1","7","8","2","1","4"
"6","2","1","2","2","1","1","1","1","1","2","2","2","2","1","1","2","2","1","2","2","1","2","2","2","2","1","2","1","2","1","2","2","1","1","1","1","2","2","3","4","4","2","2","3","1","3","3","3","3","6","1","8","6","4","5","5","6"
"7","1","2","2","1","2","1","2","2","2","2","1","2","1","2","1","1","1","2","2","1","2","1","2","2","1","2","1","2","2","2","2","1","1","1","1","2","2","1","2","2","4","2","1","4","4","2","3","1","4","5","2","5","1","4","1","5","7"
"8","2","2","2","1","1","2","2","1","1","2","2","2","1","2","1","2","2","1","1","1","2","1","2","2","2","1","2","1","2","1","1","1","1","2","2","2","1","2","4","2","2","1","3","4","3","2","4","3","1","2","5","3","5","8","1","2","6"
"9","2","1","1","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","2","1","2","2","2","2","1","2","2","1","1","1","1","1","1","1","2","1","2","3","3","4","3","3","2","2","4","3","2","1","5","7","5","2","5","8","2","4"
"10","1","2","1","2","2","1","1","1","1","2","2","1","2","2","2","2","1","2","1","2","2","1","2","1","2","2","2","2","1","1","2","2","2","1","2","2","1","2","1","3","3","3","1","2","1","2","2","2","2","8","2","4","5","8","5","5","5"
"11","1","1","2","2","2","2","2","1","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","2","2","1","2","1","2","2","1","2","1","1","1","1","2","2","3","2","3","4","4","2","4","3","2","4","1","5","3","6","5","1","2","4","5"
"12","2","2","1","1","2","2","1","2","1","2","2","1","1","1","1","1","1","2","1","2","2","2","1","1","1","1","1","2","2","1","2","2","1","2","2","2","1","2","3","1","3","1","4","2","1","4","4","4","4","5","8","1","4","4","4","8","6"
"13","2","1","1","2","2","1","1","1","1","2","2","1","2","2","1","1","1","1","2","2","1","2","2","1","2","2","2","1","2","1","1","1","1","2","2","1","1","1","2","1","4","3","1","4","1","1","1","1","1","5","5","2","8","1","3","1","8"
"14","2","2","1","2","1","2","1","2","2","2","1","1","2","2","2","1","2","1","2","2","2","1","2","1","1","1","1","1","1","2","1","2","2","2","1","2","2","1","3","3","1","4","3","2","2","2","1","4","3","3","5","6","1","4","5","2","8"
"15","1","2","1","1","1","1","2","2","1","1","1","1","1","1","1","2","2","1","2","2","1","2","2","2","1","2","2","2","1","1","2","2","1","2","2","1","2","2","3","4","2","1","4","1","4","2","3","1","4","8","7","6","5","7","3","3","8"
"16","2","2","1","2","1","2","1","2","1","1","1","1","2","2","2","1","2","2","2","1","1","2","2","2","1","2","2","1","2","1","2","2","2","2","1","1","1","1","3","4","3","2","1","4","2","4","3","2","1","1","8","3","7","6","1","4","5"
"17","2","1","1","2","2","1","2","2","2","2","1","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","1","1","1","1","1","2","1","2","1","1","1","3","2","4","4","2","4","1","4","4","4","4","1","7","7","5","3","5","6","3"
"18","2","1","1","1","1","1","1","1","2","1","2","2","2","1","2","2","1","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","1","2","2","2","2","1","1","1","1","2","3","3","4","4","1","3","2","1","2","1","5","4","3","4","2"
"19","2","2","1","1","2","2","1","2","1","1","1","2","2","1","1","2","2","1","1","1","2","2","1","2","2","1","2","1","2","2","1","2","2","2","1","1","1","1","4","3","4","1","1","1","3","3","1","2","4","7","2","5","4","1","5","3","2"
"20","2","2","1","1","2","2","2","1","2","1","2","1","1","1","1","1","1","2","1","2","1","2","2","2","2","1","1","1","1","2","1","2","1","1","1","1","1","1","1","4","4","2","2","1","3","2","4","3","1","3","4","4","1","3","3","8","5"
"21","1","2","2","1","2","1","1","1","1","1","1","2","1","2","1","1","1","2","2","1","1","1","1","1","2","2","1","1","1","1","1","1","1","2","2","1","2","2","4","3","3","1","3","3","2","4","3","2","1","3","6","8","4","3","2","5","8"
"22","2","1","2","1","2","1","2","2","2","2","1","2","1","2","2","2","1","1","1","1","1","2","2","2","1","2","1","1","1","2","1","2","2","2","1","1","2","2","1","4","3","2","1","2","4","1","4","2","3","8","5","7","4","5","7","1","6"
"23","1","1","2","1","1","2","1","2","2","1","2","2","1","2","2","1","2","2","2","1","2","2","1","1","1","1","2","1","2","2","1","2","2","2","1","2","1","2","1","1","2","2","1","1","1","3","3","3","3","5","6","4","5","2","8","6","8"
"24","2","1","1","2","2","1","2","2","1","2","2","1","2","2","1","1","1","2","2","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","2","2","4","3","1","2","1","1","3","1","3","4","2","1","4","6","3","8","8","3","6"
"25","2","2","1","1","2","2","2","1","1","2","2","1","1","1","1","1","1","1","1","1","2","1","2","1","2","2","2","1","2","1","2","2","1","1","1","2","2","1","1","3","2","4","4","3","3","4","2","1","3","1","1","5","7","5","7","6","8"
"26","2","1","2","2","1","1","2","2","1","2","2","2","2","1","1","2","2","2","2","1","1","1","1","2","1","2","1","2","2","1","2","2","1","2","2","1","1","1","1","2","1","3","2","2","3","3","1","2","4","2","8","4","1","5","2","7","8"
"27","2","2","2","1","1","2","1","2","1","2","2","2","1","2","1","2","2","2","1","2","2","2","1","2","1","2","1","2","2","1","1","1","1","1","1","2","2","1","2","4","3","4","3","1","1","2","2","2","2","6","4","7","2","1","6","4","8"
