"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"1","1","2","1","2","2","2","2","2","2","1","2","2","1","2","2","2","2","1","1","1","1","2","2","2","2","1","2","1","2","1","1","1","2","2","1","2","1","3","4","1","2","1","3","4","1","2","1","3","4","1","4","4","4"
"2","1","1","2","2","1","2","2","1","2","1","1","2","2","2","2","1","1","1","1","1","2","1","2","1","1","1","2","2","1","2","1","2","1","2","2","2","1","3","4","4","1","3","4","2","2","3","4","1","3","1","3","3","6"
"3","1","2","2","2","1","1","2","2","1","1","2","2","2","1","1","1","2","2","1","2","2","2","1","2","1","2","2","1","2","1","1","1","1","2","2","4","2","2","1","1","2","4","4","3","4","3","1","1","2","2","3","1","2"
"4","2","2","2","2","2","1","2","2","1","1","1","2","2","1","1","2","2","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","1","3","4","1","3","4","1","3","4","2","1","2","1","3","4","3","1","3","4"
"5","1","1","2","2","1","1","1","1","2","2","2","2","2","2","1","1","1","2","1","2","1","1","1","2","1","2","2","2","1","1","2","2","2","1","2","2","4","3","1","3","2","4","3","1","3","2","4","3","1","3","1","4","1"
"6","1","2","1","1","2","2","1","1","1","1","2","2","2","1","1","1","2","2","2","1","2","1","2","2","2","1","2","2","1","1","2","2","1","1","1","3","1","1","2","2","1","3","3","4","3","4","2","2","1","2","3","4","2"
"7","2","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","1","1","1","2","2","1","1","2","3","1","3","4","3","1","2","2","3","1","2","4","3","3","4","6"
"8","1","1","2","1","1","2","2","2","2","2","2","1","1","1","1","2","2","1","1","1","1","1","1","2","1","2","2","2","1","1","2","2","2","1","2","4","3","2","4","1","4","3","2","4","1","4","3","2","4","4","1","1","6"
"9","1","1","2","2","2","2","2","2","1","1","1","1","2","2","2","1","2","2","1","2","2","1","2","1","2","2","1","1","1","1","1","1","2","1","2","1","1","2","3","3","1","1","2","3","3","1","1","2","3","4","1","4","1"
"10","2","1","2","1","2","2","2","2","2","1","2","2","1","2","2","2","2","2","2","1","2","1","2","1","1","1","1","2","2","2","2","1","1","1","1","3","4","2","1","4","3","4","2","1","4","3","4","2","1","1","1","1","4"
