"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","2","2","1","2","2","1","1","1","1","1","2","2","1","2","2","2","2","1","2","2","1","2","2","1","4","2","4","1","6","1","3","3","5","7","7","12"
"2","2","2","1","1","2","2","2","1","2","2","2","1","1","1","1","1","2","2","2","1","2","1","2","2","2","2","1","2","1","2","2","1","2","2","2","1","2","1","2","1","1","1","2","2","1","1","2","2","2","1","2","4","1","2","4","3","1","3","2","1","1","6","4"
"3","1","1","2","2","2","2","1","2","2","1","1","1","1","2","2","1","2","2","1","1","1","2","1","2","2","1","2","2","1","2","1","1","1","1","2","2","2","2","1","2","1","2","2","2","1","2","1","2","1","1","1","1","2","3","2","5","5","8","3","5","8","1","4"
"4","2","1","1","1","2","1","1","1","1","2","1","2","2","2","1","1","2","2","2","2","1","2","1","2","1","1","1","2","2","1","1","1","1","2","2","1","1","2","2","2","2","1","1","2","2","1","2","2","1","2","2","3","3","2","3","3","6","8","1","5","6","3","3"
"5","2","1","2","1","2","2","1","1","1","1","2","2","2","2","1","1","1","1","2","1","2","2","1","2","1","2","2","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","1","3","2","3","2","1","4","4","7","8","8","7"
"6","1","1","2","2","2","2","2","1","2","2","1","2","1","1","1","1","2","2","2","2","1","2","1","2","1","1","1","1","1","1","2","1","2","1","2","2","2","1","2","2","1","2","2","1","2","1","1","1","1","2","2","2","2","2","4","8","4","6","4","8","4","5","12"
"7","2","2","2","2","2","2","1","1","1","2","1","2","1","2","2","2","1","2","2","1","2","2","2","1","2","1","2","2","1","2","2","2","1","1","2","2","1","2","2","1","2","2","1","2","2","2","1","2","1","2","2","4","3","2","2","6","8","6","2","3","3","2","5"
"8","2","2","1","2","1","2","2","2","1","2","1","2","2","1","2","1","1","1","1","2","2","1","1","1","2","2","1","1","2","2","1","1","1","2","2","1","2","1","2","2","1","2","2","2","1","2","1","2","2","2","1","4","2","2","3","2","7","4","6","5","3","5","13"
"9","1","2","1","2","1","1","2","2","1","1","1","1","2","2","1","2","1","2","2","2","1","2","1","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","2","1","2","3","1","7","2","4","8","5","2"
"10","1","2","2","1","2","2","1","2","2","2","2","1","2","2","1","2","2","1","1","1","1","2","2","1","1","2","2","2","1","2","1","1","1","1","1","1","2","1","2","2","2","1","1","1","1","1","1","1","1","2","2","4","2","3","3","1","4","2","1","1","3","7","2"
"11","2","2","1","1","2","2","1","2","2","2","1","2","2","1","2","1","1","1","2","2","1","1","2","2","2","1","2","2","2","1","2","1","2","1","2","2","1","1","1","2","1","2","1","2","2","1","1","1","1","1","1","4","2","4","2","1","1","1","8","6","6","4","9"
"12","1","1","2","2","2","2","1","2","2","2","2","1","2","1","2","1","1","1","2","1","2","2","1","2","1","2","2","1","2","2","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","2","1","4","2","6","4","8","6","3","7","3","1"
"13","2","2","2","1","1","2","1","2","2","1","1","1","1","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","2","1","2","2","1","2","1","2","1","2","2","2","1","2","2","1","2","2","2","1","3","3","1","1","8","7","5","3","1","2","3","9"
"14","2","1","1","1","2","1","2","2","1","2","2","1","1","2","2","1","1","1","2","1","2","2","1","2","1","2","2","2","1","2","1","1","1","1","2","2","2","2","1","1","2","2","2","2","1","1","1","1","2","2","1","3","4","4","1","1","6","6","7","2","1","5","10"
